lambda,rep,congestion_prom,montevideo_prom,montevideo_freq,viento_prom,viento_freq,tormenta_prom,tormenta_freq,atraso_prom
0.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7250000000000014
0.02,1,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,3.810526315789474
0.02,2,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,4.252173913043477
0.02,3,0.5483870967741935,0.0,0.0,0.0,0.0,0.0,0.0,4.245161290322581
0.02,4,1.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005
0.02,5,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,3.963636363636363
0.02,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,7,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,3.7818181818181826
0.02,8,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.7904761904761903
0.02,9,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,4.564285714285715
0.02,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.009090909090909
0.02,11,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,4.421428571428572
0.02,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
0.02,13,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,3.736363636363636
0.02,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5523809523809535
0.02,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000002
0.02,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.647619047619049
0.02,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600000000000001
0.02,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600000000000002
0.02,21,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,3.806896551724138
0.02,22,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,4.952941176470589
0.02,23,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.7428571428571424
0.02,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5473684210526333
0.02,25,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,4.054545454545454
0.02,26,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,4.281818181818181
0.02,27,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,5.121739130434782
0.02,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,30,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,4.208695652173913
0.02,31,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,4.034782608695651
0.02,32,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,4.034782608695651
0.02,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.600000000000001
0.02,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.080000000000001
0.02,35,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,4.178947368421053
0.02,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034782608695651
0.02,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933333333333334
0.02,38,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,4.457142857142857
0.02,39,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.7428571428571433
0.02,40,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,4.252173913043477
0.02,41,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,4.3619047619047615
0.02,42,1.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,4.418181818181818
0.02,43,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000001
0.02,44,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.02,45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.02,46,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,3.8173913043478254
0.02,47,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,3.8631578947368426
0.02,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,49,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,3.877777777777778
0.1,0,3.1470588235294117,1.462037037037037,0.987037037037037,0.0,0.0,0.0,0.0,10.756862745098033
0.1,1,2.877551020408163,0.0,0.0,0.0,0.0,0.0,0.0,11.099999999999998
0.1,2,2.313131313131313,0.13240740740740742,0.13240740740740742,0.0,0.0,0.0,0.0,9.377777777777778
0.1,3,2.4814814814814814,0.16018518518518518,0.16018518518518518,0.0,0.0,0.0,0.0,11.451851851851847
0.1,4,2.4,0.7416666666666667,0.7416666666666667,0.0,0.0,0.0,0.0,10.371428571428567
0.1,5,4.105263157894737,5.064814814814815,0.7842592592592592,0.0,0.0,0.0,0.0,15.380701754385962
