lambda,rep,congestion_prom,montevideo_prom,montevideo_freq,viento_prom,viento_freq,tormenta_prom,tormenta_freq,atraso_prom
0.02,0,0.0,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.9043478260869557
0.02,1,0.45,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,3.9
0.02,2,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,4.412500000000001
0.02,3,0.0,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.658823529411766
0.02,4,1.0416666666666667,0.0,0.0,0.04351851851851852,0.04351851851851852,0.0,0.0,7.516666666666668
0.02,5,0.0,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,4.00909090909091
0.02,6,1.1515151515151516,0.0,0.0,0.01574074074074074,0.01574074074074074,0.0,0.0,6.175757575757577
0.02,7,0.32,0.0,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0,4.920000000000001
0.02,8,0.0,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.6000000000000014
0.02,9,0.16129032258064516,0.0,0.0,0.040740740740740744,0.03981481481481482,0.0,0.0,6.825806451612903
0.02,10,0.045454545454545456,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,4.1909090909090905
0.02,11,0.0,0.0,0.0,0.01574074074074074,0.01574074074074074,0.0,0.0,4.95
0.02,12,0.4444444444444444,0.0,0.0,0.010185185185185186,0.009259259259259259,0.0,0.0,4.822222222222223
0.02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.838095238095239
0.02,14,0.0,0.0,0.0,0.025,0.025,0.0,0.0,5.554545454545456
0.02,15,0.2631578947368421,0.0,0.0,0.012962962962962963,0.012962962962962963,0.0,0.0,5.705263157894737
0.02,16,0.7916666666666666,0.0,0.0,0.032407407407407406,0.032407407407407406,0.0,0.0,8.600000000000001
0.02,17,0.6538461538461539,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,4.1000000000000005
0.02,18,0.1111111111111111,0.0,0.0,0.03796296296296296,0.03518518518518519,0.0,0.0,7.6000000000000005
0.02,19,0.8181818181818182,0.0,0.0,0.012037037037037037,0.012037037037037037,0.0,0.0,5.009090909090909
0.02,20,0.0,0.0,0.0,0.019444444444444445,0.013888888888888888,0.0,0.0,5.1
0.02,21,0.0,0.0,0.0,0.014814814814814815,0.014814814814814815,0.0,0.0,5.287500000000001
0.02,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000014
0.02,23,0.0,0.0,0.0,0.021296296296296296,0.021296296296296296,0.0,0.0,5.835294117647059
0.02,24,0.0,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.7818181818181813
0.02,25,0.5,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.9750000000000014
0.02,26,0.0,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,4.044444444444445
0.02,27,0.38095238095238093,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,4.6
0.02,28,0.42105263157894735,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,3.9157894736842107
0.02,29,0.6956521739130435,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,4.0782608695652165
0.02,30,0.0,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,3.6740740740740745
0.02,31,1.0,0.0,0.0,0.002777777777777778,0.002777777777777778,0.0,0.0,4.2666666666666675
0.02,32,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,5.082758620689655
0.02,33,1.4545454545454546,0.0,0.0,0.009259259259259259,0.008333333333333333,0.0,0.0,5.1909090909090905
0.02,34,0.5625,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,4.475000000000001
0.02,35,0.3103448275862069,0.0,0.0,0.014814814814814815,0.014814814814814815,0.0,0.0,4.6689655172413795
0.02,36,0.0,0.0,0.0,0.01574074074074074,0.01574074074074074,0.0,0.0,4.975000000000001
0.02,37,0.5625,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,3.9750000000000014
0.02,38,1.380952380952381,0.0,0.0,0.002777777777777778,0.002777777777777778,0.0,0.0,4.885714285714285
0.02,39,1.0384615384615385,0.0,0.0,0.006481481481481481,0.006481481481481481,0.0,0.0,5.330769230769231
0.02,40,0.38095238095238093,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,3.9333333333333345
0.02,41,0.5,0.0,0.0,0.012962962962962963,0.012962962962962963,0.0,0.0,5.350000000000001
0.02,42,0.42105263157894735,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,3.8631578947368426
0.02,43,0.36,0.0,0.0,0.023148148148148147,0.023148148148148147,0.0,0.0,5.360000000000001
0.02,44,0.6206896551724138,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,5.393103448275863
0.02,45,0.0,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,4.021052631578947
0.02,46,0.47368421052631576,0.0,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0,5.231578947368422
0.02,47,0.5333333333333333,0.0,0.0,0.012962962962962963,0.012962962962962963,0.0,0.0,5.4
